City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zhangjiakou,40.81,114.8794,29.1,69,74,0.87,CN,1673524876
Saldanha,-33.0117,17.9442,68.95,69,84,13.27,ZA,1673524867
Kindu,-2.95,25.95,69.13,95,100,1.77,CD,1673524876
Port Lincoln,-34.7333,135.8667,66.97,75,5,6.31,AU,1673524877
Zonguldak,41.25,31.8333,54.34,54,100,2.98,TR,1673524640
Jishou,28.3167,109.7167,64.42,71,64,2.55,CN,1673524583
Vestmannaeyjar,63.4427,-20.2734,36.59,75,0,11.5,IS,1673524878
Honiara,-9.4333,159.95,77.32,89,87,1.57,SB,1673524615
Yukon,35.5067,-97.7625,41.54,69,100,29.93,US,1673524879
Parkes,-33.1333,148.1833,78.35,49,70,1.99,AU,1673524880
Whitianga,-36.8333,175.7,62.2,89,97,7.99,NZ,1673524881
Ingham,42.6,-84.3833,42.98,96,100,3.44,US,1673524881
Den Helder,52.9599,4.7593,52.99,89,75,23.02,NL,1673524882
Hadejia,12.4498,10.0444,79.2,12,86,13.76,NG,1673524882
Kavaratti,10.5669,72.642,81.28,57,40,3.58,IN,1673524883
Narsaq,60.9167,-46.05,10.62,72,75,6.26,GL,1673524884
Ola,59.5833,151.2833,-4.25,94,100,1.39,RU,1673524885
Kloulklubed,7.0419,134.2556,83.05,75,100,10.02,PW,1673524885
Tiarei,-17.5333,-149.3333,77.02,94,100,15.99,PF,1673524885
Buala,-8.145,159.5921,80.73,79,100,7.02,SB,1673524885
Bonavista,48.6499,-53.1147,18.95,67,78,20.83,CA,1673524886
Araouane,18.9048,-3.5265,75.15,10,6,10.36,ML,1673524886
Nuevo Progreso,23.1667,-97.95,70.9,76,49,8.37,MX,1673524887
Tumaco,1.7986,-78.8156,73.87,93,100,7.54,CO,1673524887
Haimen,23.1935,116.6142,65.14,91,97,9.17,CN,1673524887
Sinnamary,5.3833,-52.95,75.76,92,98,12.75,GF,1673524887
Barra do Garças,-15.89,-52.2567,74.84,87,100,1.32,BR,1673524887
Nanortalik,60.1432,-45.2371,24.49,88,100,4.05,GL,1673524888
North Platte,41.1239,-100.7654,27.37,90,88,7.0,US,1673524890
Portel,-1.9356,-50.8211,81.43,70,34,5.03,BR,1673524891
Scarborough,54.2797,-0.4044,51.37,91,63,11.99,GB,1673524891
Pisco,-13.7,-76.2167,66.02,88,72,0.85,PE,1673524897
Aykhal,66.0,111.5,-38.36,96,100,10.87,RU,1673524897
Guarapari,-20.6667,-40.4975,82.89,82,100,10.25,BR,1673524898
Herat Province,34.5,62.0,5.86,77,0,17.65,AF,1673524899
Pareora,-44.4871,171.2132,57.18,82,94,3.38,NZ,1673524899
Russell,32.3502,-85.1999,64.0,98,96,6.08,US,1673524900
Departamento de Maldonado,-34.6667,-54.9167,70.23,60,20,7.94,UY,1673524900
Masuguru,-11.3667,38.4167,87.8,53,82,2.51,TZ,1673524900
Kalemie,-5.9475,29.1947,68.72,89,100,9.06,CD,1673524901
Semirara,12.0697,121.3986,79.2,81,100,23.24,PH,1673524901
Cayenne,4.9333,-52.3333,78.84,83,0,5.75,GF,1673524818
Soyo,-6.1349,12.3689,78.8,80,100,7.83,AO,1673524901
Dibulla,11.2725,-73.3091,74.55,86,65,7.81,CO,1673524901
La Santisima Trinidad,-14.8333,-64.9,78.33,82,88,6.67,BO,1673524902
Garoowe,8.4054,48.4845,86.43,21,39,17.52,SO,1673524902
Sinjār,36.3209,41.8754,49.82,32,95,2.48,IQ,1673524902
Languyan,5.2618,120.0807,79.45,78,100,10.83,PH,1673524902
Smithers,54.7804,-127.1743,23.52,99,96,0.45,CA,1673524903
Ranong,9.9658,98.6348,77.36,85,71,2.51,TH,1673524904
Rundu,-17.9333,19.7667,92.95,20,95,10.25,NA,1673524904
São Miguel do Araguaia,-13.275,-50.1628,76.73,86,100,1.36,BR,1673524905
Yangi Marg`ilon,40.4272,71.7189,16.52,57,97,6.91,UZ,1673524905
Champerico,14.3,-91.9167,73.78,84,5,4.36,GT,1673524905
Half Moon Bay,37.4636,-122.4286,58.78,85,75,16.11,US,1673524906
Atambua,-9.1061,124.8925,74.39,89,100,1.45,ID,1673524907
Evanston,42.0411,-87.6901,38.57,91,100,13.8,US,1673524907
Avilés,43.5547,-5.9248,51.76,67,0,6.91,ES,1673524907
Rocha,-34.4833,-54.3333,75.29,59,13,9.1,UY,1673524908
Smolenka,52.1352,113.4974,-5.06,37,56,20.13,RU,1673524908
Solwezi,-12.1688,26.3894,70.48,85,97,2.3,ZM,1673524876
Maniitsoq,65.4167,-52.9,2.03,72,1,7.65,GL,1673524908
Barra de Tecoanapa,16.5167,-98.75,71.44,81,0,3.22,MX,1673524909
Makokou,0.5738,12.8642,86.49,49,66,2.95,GA,1673524909
Napanee,44.2501,-76.9494,36.05,88,99,13.56,CA,1673524909
Maridi,4.9158,29.4742,92.97,17,15,7.07,SS,1673524909
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,84.02,37,75,3.53,AR,1673524909
Cam Ranh,11.9214,109.1591,76.96,88,20,4.61,VN,1673524910
Kariba,-16.5167,28.8,79.79,63,39,3.13,ZW,1673524910
Mossamedes,-15.1961,12.1522,74.46,72,95,9.64,AO,1673524910
Wajir,1.7471,40.0573,94.78,24,20,11.39,KE,1673524911
Barra Velha,-26.6322,-48.6847,75.99,85,100,2.93,BR,1673524912
Maraã,-1.8333,-65.3667,76.26,86,79,3.76,BR,1673524912
Goderich,43.7501,-81.7165,36.91,95,100,9.04,CA,1673524913
Porto-Novo,6.4965,2.6036,93.33,34,29,5.46,BJ,1673524913
Nechanice,50.2374,15.6328,49.82,70,80,12.93,CZ,1673524914
Tanout,14.9709,8.8879,73.8,12,88,16.06,NE,1673524914
Kotido,2.9806,34.1331,83.03,29,89,15.57,UG,1673524914
Orimattila,60.8049,25.7296,34.38,98,100,9.28,FI,1673524755
Inuvik,68.3499,-133.7218,-10.44,77,100,9.22,CA,1673524822
Okhotsk,59.3833,143.3,-21.37,82,14,9.22,RU,1673524920
Quatre Cocos,-20.2078,57.7625,77.09,69,24,11.36,MU,1673524921
Bariloche,-41.1456,-71.3082,50.25,65,20,3.44,AR,1673524628
Haines Junction,60.7522,-137.5108,18.09,96,100,1.05,CA,1673524922
Pedersore,63.65,22.6833,39.0,85,100,17.36,FI,1673524922
Port-Gentil,-0.7193,8.7815,82.36,78,40,6.91,GA,1673524896
Rockhampton,-23.3833,150.5,73.29,64,100,5.75,AU,1673524922
Cabedelo,-6.9811,-34.8339,84.87,64,14,13.33,BR,1673524923
Oranjemund,-28.55,16.4333,71.08,66,23,15.28,NA,1673524923
Mosquera,4.7059,-74.2302,49.68,88,85,4.41,CO,1673524924
Rabo de Peixe,37.8,-25.5833,62.11,94,75,19.57,PT,1673524925
Cabo San Lucas,22.8909,-109.9124,66.51,69,0,0.58,MX,1673524925
Ugoofaaru,5.6667,73.0,79.63,65,99,11.25,MV,1673524925
Redmond,47.674,-122.1215,49.15,91,100,7.0,US,1673524724
San Vicente de Cañete,-13.0751,-76.3835,68.47,83,99,3.27,PE,1673524925
Coolum Beach,-26.5333,153.1,76.1,81,95,6.38,AU,1673524925
Morondava,-20.2833,44.2833,85.19,66,100,10.58,MG,1673524926
Belyy Yar,53.6039,91.3903,-7.71,64,0,4.47,RU,1673524926
Bilokurakyne,49.5341,38.7307,22.32,80,100,14.9,UA,1673524927
Isabela,6.7085,121.9711,78.93,83,100,10.94,PH,1673524927
Manzhouli,49.6,117.4333,3.47,73,97,26.51,CN,1673524927
Murdochville,48.9583,-65.5006,-2.16,94,24,2.24,CA,1673524927
Ranchi,23.35,85.3333,73.51,40,0,0.0,IN,1673524928
Ambanja,-13.6833,48.45,83.5,74,35,5.55,MG,1673524928
Whitehorse,60.7161,-135.0538,13.8,97,92,1.77,CA,1673524929
Huntingdon,52.3305,-0.1865,54.3,90,100,11.99,GB,1673524930
Sarab,38.6066,44.9883,31.91,56,18,0.27,IR,1673524930
Akdepe,42.0551,59.3788,21.33,20,0,10.58,TM,1673524931
College,64.8569,-147.8028,2.59,83,82,2.89,US,1673524932
Mildura,-34.2,142.15,82.08,24,4,11.03,AU,1673524933
Bereda,43.2686,-7.5406,48.42,99,100,7.0,ES,1673524934
Compostela,7.6731,126.0889,75.31,97,100,1.59,PH,1673524935
Berlevåg,70.8578,29.0864,31.95,80,40,6.91,NO,1673524935
Grindavik,63.8424,-22.4338,32.47,64,40,11.5,IS,1673524937
Sarangani,5.4033,125.4636,81.09,78,68,5.95,PH,1673524937
Baiyin,36.5583,104.2081,23.5,51,40,24.79,CN,1673524937
Chicama,-7.8447,-79.1469,69.06,78,98,4.9,PE,1673524938
Umm Kaddadah,13.6017,26.6876,78.57,14,82,13.87,SD,1673524938
Flin Flon,54.7682,-101.865,-7.35,100,76,2.46,CA,1673524939
Cockburn Town,21.4612,-71.1419,76.39,71,86,18.32,TC,1673524939
Darhan,49.4867,105.9228,-13.86,93,100,2.86,MN,1673524939
Hoquiam,46.9809,-123.8893,49.98,91,100,13.8,US,1673524940
Adrar,20.5022,-10.0711,71.11,11,0,13.85,MR,1673524942
Pontianak,-0.0333,109.3333,78.78,88,40,3.44,ID,1673524947
